id,score,audio_path,char_path,jieba_path,pku_path,snlp_path
26961002,5.1,Audio_Data/26961002.mp4,char_data/1/5.1-26961002.txt,jieba_data/1/5.1-26961002.txt,pku_data/1/5.1-26961002.txt,snlp_data/1/5.1-26961002.txt
27073179,6.7,Audio_Data/27073179.mp4,char_data/3/6.7-27073179.txt,jieba_data/3/6.7-27073179.txt,pku_data/3/6.7-27073179.txt,snlp_data/3/6.7-27073179.txt
1293323,8.5,Audio_Data/1293323.mp4,char_data/0/8.5-1293323.txt,jieba_data/0/8.5-1293323.txt,pku_data/0/8.5-1293323.txt,snlp_data/0/8.5-1293323.txt
25876760,6.8,Audio_Data/25876760.mp4,char_data/3/6.8-25876760.txt,jieba_data/3/6.8-25876760.txt,pku_data/3/6.8-25876760.txt,snlp_data/3/6.8-25876760.txt
10810745,6.6,Audio_Data/10810745.mp4,char_data/3/6.6-10810745.txt,jieba_data/3/6.6-10810745.txt,pku_data/3/6.6-10810745.txt,snlp_data/3/6.6-10810745.txt
30337172,7.5,Audio_Data/30337172.mp4,char_data/0/7.5-30337172.txt,jieba_data/0/7.5-30337172.txt,pku_data/0/7.5-30337172.txt,snlp_data/0/7.5-30337172.txt
27102569,5.9,Audio_Data/27102569.mp4,char_data/2/5.9-27102569.txt,jieba_data/2/5.9-27102569.txt,pku_data/2/5.9-27102569.txt,snlp_data/2/5.9-27102569.txt
30466833,5.1,Audio_Data/30466833.mp4,char_data/0/5.1-30466833.txt,jieba_data/0/5.1-30466833.txt,pku_data/0/5.1-30466833.txt,snlp_data/0/5.1-30466833.txt
30175306,5.5,Audio_Data/30175306.mp4,char_data/0/5.5-30175306.txt,jieba_data/0/5.5-30175306.txt,pku_data/0/5.5-30175306.txt,snlp_data/0/5.5-30175306.txt
27605698,6.6,Audio_Data/27605698.mp4,char_data/0/6.6-27605698.txt,jieba_data/0/6.6-27605698.txt,pku_data/0/6.6-27605698.txt,snlp_data/0/6.6-27605698.txt
26277313,8.3,Audio_Data/26277313.mp4,char_data/2/8.3-26277313.txt,jieba_data/2/8.3-26277313.txt,pku_data/2/8.3-26277313.txt,snlp_data/2/8.3-26277313.txt
30244759,6.2,Audio_Data/30244759.mp4,char_data/0/6.2-30244759.txt,jieba_data/0/6.2-30244759.txt,pku_data/0/6.2-30244759.txt,snlp_data/0/6.2-30244759.txt
10545939,7.3,Audio_Data/10545939.mp4,char_data/1/7.3-10545939.txt,jieba_data/1/7.3-10545939.txt,pku_data/1/7.3-10545939.txt,snlp_data/1/7.3-10545939.txt
1303485,8.4,Audio_Data/1303485.mp4,char_data/0/8.4-1303485.txt,jieba_data/0/8.4-1303485.txt,pku_data/0/8.4-1303485.txt,snlp_data/0/8.4-1303485.txt
20645019,9.1,Audio_Data/20645019.mp4,char_data/0/9.1-20645019.txt,jieba_data/0/9.1-20645019.txt,pku_data/0/9.1-20645019.txt,snlp_data/0/9.1-20645019.txt
27056299,6.2,Audio_Data/27056299.mp4,char_data/3/6.2-27056299.txt,jieba_data/3/6.2-27056299.txt,pku_data/3/6.2-27056299.txt,snlp_data/3/6.2-27056299.txt
26331839,5.3,Audio_Data/26331839.mp4,char_data/2/5.3-26331839.txt,jieba_data/2/5.3-26331839.txt,pku_data/2/5.3-26331839.txt,snlp_data/2/5.3-26331839.txt
26935296,7.2,Audio_Data/26935296.mp4,char_data/0/7.2-26935296.txt,jieba_data/0/7.2-26935296.txt,pku_data/0/7.2-26935296.txt,snlp_data/0/7.2-26935296.txt
4291275,7.7,Audio_Data/4291275.mp4,char_data/1/7.7-4291275.txt,jieba_data/1/7.7-4291275.txt,pku_data/1/7.7-4291275.txt,snlp_data/1/7.7-4291275.txt
